,Unnamed: 0,Title,Artist(s),Track_ID,Genre
209,10,Daddy Don't You Walk So Fast,Wayne Newton,176491871,Pop
210,11,Let's Stay Together,Al Green,61348334,Soul
211,12,Brandy (You're a Fine Girl),Looking Glass,57448564,Soft Rock
212,13,Oh Girl,The Chi-Lites,142111652,R&B/Soul
213,14,Nice to Be with You,Gallery,missing,missing
214,15,My Ding-a-Ling,Chuck Berry,114148814,Rock
215,16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,34602193,R&B/Soul
216,17,Heart of Gold,Neil Young,108659748,Contemporary Country
217,18,"Betcha by Golly, Wow",The Stylistics,36587590,R&B/Soul
218,19,I'll Take You There,The Staple Singers,96331709,R&B/Soul
219,20,Ben,Michael Jackson,83358201,Pop
220,21,The Lion Sleeps Tonight,Robert John,missing,missing
221,22,Outa-Space,Billy Preston,100357748,R&B/Soul
222,23,Slippin' into Darkness,War,30335591,R&B/Soul
223,24,Long Cool Woman in a Black Dress,The Hollies,missing,missing
224,25,How Do You Do,Mouth & MacNeal,106254061,Rock
225,26,Song Sung Blue,Neil Diamond,86404405,Music
226,27,A Horse with No Name,America,90306920,Folk-Rock
227,28,Popcorn,Hot Butter,100525921,Pop
228,29,Everybody Plays the Fool,The Main Ingredient,14703580,R&B/Soul
229,30,Precious and Few,Climax,missing,missing
230,31,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,98158688,Pop
231,32,Nights in White Satin,The Moody Blues,missing,missing
232,33,Go All the Way,Raspberries,58378929,Pop
233,34,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose,missing,missing
234,35,Back Stabbers,The O'Jays,201309689,Contemporary R&B
235,36,Down by the Lazy River,The Osmonds,146766753,Pop
236,37,Sunshine,Jonathan Edwards,missing,missing
237,38,Starting All Over Again,Mel and Tim,8841463,R&B/Soul
238,39,Day After Day,Badfinger,91140973,Rock
239,40,Rocket Man,Elton John,34048720,Pop
240,41,Rockin' Robin,Michael Jackson,missing,missing
241,42,Beautiful Sunday,Daniel Boone,53041746,Pop
242,43,Scorpio,Dennis Coffey,141137183,R&B/Soul
243,44,Morning Has Broken,Cat Stevens,89199955,Pop
244,45,City of New Orleans,Arlo Guthrie,missing,missing
245,46,Garden Party,Ricky Nelson,55008988,Pop
246,47,I Can See Clearly Now,Johnny Nash,37020541,Pop
247,48,Burning Love,Elvis Presley,86118023,Rock
248,49,Clean Up Woman,Betty Wright,99333827,R&B/Soul
249,50,Hold Your Head Up,Argent,100051280,Rock
250,51,Jungle Fever,The Chakachas,57262206,Latin
251,52,Everything I Own,Bread,36283162,Pop
252,53,In the Rain,The Dramatics,missing,missing
253,54,Look What You Done for Me,Al Green,58118084,R&B/Soul
254,55,The Happiest Girl in the Whole U.S.A.,Donna Fargo,100838240,Country
255,56,Bang a Gong (Get it On),T. Rex,missing,missing
256,57,Mother and Child Reunion,Paul Simon,90321717,Pop
257,58,Where Is the Love,Roberta Flack & Donny Hathaway,35517970,Pop
258,59,I'm Still in Love with You,Al Green,58118079,R&B/Soul
259,60,Layla,Derek and the Dominos,missing,missing
260,61,Day Dreaming,Aretha Franklin,89206503,R&B/Soul
261,62,The Way of Love,Cher,72359419,Pop
262,63,Black and White,Three Dog Night,96439971,Rock
263,64,Sylvia's Mother,Dr. Hook & The Medicine Show,94788779,Rock
264,65,Hurting Each Other,The Carpenters,88774858,Rock
265,66,Coconut,Harry Nilsson,867672,Rock
266,67,Puppy Love,Donny Osmond,203156867,Pop
267,68,You Don't Mess Around with Jim,Jim Croce,127101644,Rock
268,69,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,46971342,Rock
269,70,A Cowboy's Work Is Never Done,Sonny & Cher,missing,missing
270,71,Joy,Apollo 100,missing,missing
271,72,Anticipation,Carly Simon,92973314,Pop
272,73,Never Been to Spain,Three Dog Night,41621665,Rock
273,74,Kiss an Angel Good Mornin',Charley Pride,39764531,Country
274,75,School's Out,Alice Cooper,167857351,Rock
275,76,Saturday in the Park,Chicago,34198975,Rock
276,77,Drowning in the Sea of Love,Joe Simon,65697137,R&B/Soul
277,78,Use Me,Bill Withers,90292544,Funk
278,79,Family Affair,Sly & the Family Stone,48610112,Pop
279,80,Troglodyte (Cave Man),The Jimmy Castor Bunch,101674916,R&B/Soul
280,81,The Witch Queen of New Orleans,Redbone,91526368,Pop
281,82,Freddie's Dead,Curtis Mayfield,missing,missing
282,83,Power of Love,Joe Simon,65758451,R&B/Soul
283,84,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,48526047,R&B/Soul
284,85,Taxi,Harry Chapin,133066921,Pop
285,86,Don't Say You Don't Remember,Beverly Bremers,164812825,Pop
286,87,Sealed with a Kiss,Bobby Vinton,154815303,Pop
287,88,I Saw the Light,Todd Rundgren,missing,missing
288,89,Motorcycle Mama,Sailcat,110161963,Rock
289,90,Day by Day,Original Cast of Godspell,83956896,Soundtrack
290,91,Roundabout,Yes,91359962,Rock
291,92,Doctor My Eyes,Jackson Browne,94006867,Pop
292,93,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers,213629015,Rock
293,94,Vincent,Don McLean,111817870,Rock
294,95,Baby Let Me Take You (In My Arms),The Detroit Emeralds,67336187,R&B/Soul
295,96,Speak to the Sky,Rick Springfield,108441179,Pop
296,97,I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers,missing,missing
297,98,Walkin' in the Rain with the One I Love,Love Unlimited,missing,missing
298,99,Get on the Good Foot,James Brown,174815589,R&B/Soul
299,100,Pop That Thang,The Isley Brothers,91525302,R&B/Soul
300,1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,missing,missing
301,2,"Bad, Bad Leroy Brown",Jim Croce,43092680,Traditional Country
302,3,Killing Me Softly with His Song,Roberta Flack,19230348,Soul
303,4,Let's Get It On,Marvin Gaye,49005106,Funk
304,5,My Love,Paul McCartney & Wings,missing,missing
305,6,Why Me,Kris Kristofferson,missing,missing
306,7,Crocodile Rock,Elton John,138380559,Pop/Rock
307,8,Will It Go Round in Circles,Billy Preston,missing,missing
308,9,You're So Vain,Carly Simon,31243682,Pop
309,10,Touch Me in the Morning,Diana Ross,30434358,R&B/Soul
310,11,The Night the Lights Went Out in Georgia,Vicki Lawrence,104333161,Country
311,12,Playground in My Mind,Clint Holmes,missing,missing
312,13,Brother Louie,Stories,14017258,Rock
313,14,Delta Dawn,Helen Reddy,13781998,Pop
314,15,Me and Mrs. Jones,Billy Paul,183151464,Contemporary R&B
315,16,Frankenstein,The Edgar Winter Group,100290025,Rock
316,17,Drift Away,Dobie Gray,missing,missing
317,18,Little Willy,Sweet,150876744,Rock
318,19,You Are the Sunshine of My Life,Stevie Wonder,87291000,R&B/Soul
319,20,Half-Breed,Cher,213378567,Pop
320,21,That Lady,The Isley Brothers,missing,missing
321,22,Pillow Talk,Sylvia Robinson,missing,missing
322,23,We're an American Band,Grand Funk Railroad,missing,missing
323,24,Right Place Wrong Time,Dr. John,95568181,Rock
324,25,Wildflower,Skylark,missing,missing
325,26,Superstition,Stevie Wonder,87291011,Funk
326,27,Loves Me Like a Rock,Paul Simon,38155663,Singer/Songwriter
327,28,The Morning After,Maureen McGovern,missing,missing
328,29,Rocky Mountain High,John Denver,89770037,Country
329,30,Stuck in the Middle with You,Stealers Wheel,94327766,Pop/Rock
330,31,Shambala,Three Dog Night,42033698,Rock
331,32,Love Train,The O'Jays,196396753,Disco
332,33,I'm Gonna Love You Just a Little More Baby,Barry White,missing,missing
333,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,95447090,Pop
334,35,Keep on Truckin',Eddie Kendricks,5084292,R&B/Soul
335,36,Danny's Song,Anne Murray,38306773,Pop
336,37,Dancing in the Moonlight,King Harvest,48245468,Rock
337,38,Monster Mash,Bobby 'Boris' Pickett,34261196,Rock
338,39,Natural High,Bloodstone,192091761,R&B/Soul
339,40,Diamond Girl,Seals and Crofts,missing,missing
340,41,Long Train Runnin',The Doobie Brothers,missing,missing
341,42,Give Me Love (Give Me Peace on Earth),George Harrison,missing,missing
342,43,If You Want Me to Stay,Sly & the Family Stone,131596622,R&B/Soul
343,44,Daddy's Home,Jermaine Jackson,40813101,R&B/Soul
344,45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,77467810,R&B/Soul
345,46,I'm Doin' Fine Now,New York City,74896606,Soul
346,47,Could It Be I'm Falling in Love,The Spinners,104469342,R&B/Soul
347,48,Daniel,Elton John,90331254,Adult Contemporary
348,49,Midnight Train to Georgia,Gladys Knight & the Pips,97540156,R&B/Soul
349,50,Smoke on the Water,Deep Purple,18468708,Arena Rock
350,51,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,94788811,Rock
351,52,Behind Closed Doors,Charlie Rich,97917092,Country
352,53,Your Mama Don't Dance,Loggins and Messina,100337097,Pop
353,54,Feelin' Stronger Every Day,Chicago,missing,missing
354,55,The Cisco Kid,War,127099250,R&B/Soul
355,56,Live and Let Die,Paul McCartney & Wings,missing,missing
